"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_instructions4","correct_keyboard_response","correct_response","correct_stim","count_ISI","count_block_one","count_block_two","count_break","count_experiment","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_instructions4","count_keyboard_response","count_logger","count_new_inline_javascript","count_stim","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","false_response","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_one","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break","response_instructions1","response_instructions2","response_instructions3","response_instructions4","response_keyboard_response","response_stim","response_time","response_time_break","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_instructions4","response_time_keyboard_response","response_time_stim","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim","subject_nr","subject_parity","time_ISI","time_block_one","time_block_two","time_break","time_experiment","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_instructions4","time_keyboard_response","time_logger","time_new_inline_javascript","time_stim","time_trial_sequence","title","total_correct","total_response_time","total_responses","true_false","true_response","uniform_coordinates","width"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","1757","2","legacy","1024","2","48000","-16","experiment","A gumdrop is candy.","100","even","13617","11322","NA","NA","2341","13113","2425","4123","8197","9544","13818","14818","2420","11351","11347","Sentence_verification","0","1000","1","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","1","0","0","0","0","1","0","0","0","0","1","1","0","1","1","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","1519","2","legacy","1024","2","48000","-16","experiment","Taffy is sweet. ","100","even","16913","11322","NA","NA","2341","16410","2425","4123","8197","9544","17114","18114","2420","14887","14883","Sentence_verification","0","2000","2","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","2","0","0","0","0","2","0","0","0","0","2","2","0","2","2","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","2109","2","legacy","1024","2","48000","-16","experiment","Hockey is a race.","100","even","20777","11322","NA","NA","2341","20273","2425","4123","8197","9544","20977","21977","2420","18160","18157","Sentence_verification","0","3000","3","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","3","0","0","0","0","3","0","0","0","0","3","3","0","3","3","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","1060","2","legacy","1024","2","48000","-16","experiment","A shotgun is a shotgun. ","100","even","23601","11322","NA","NA","2341","23097","2425","4123","8197","9544","23801","24801","2420","22032","22028","Sentence_verification","0","4000","4","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","4","0","0","0","0","4","0","0","0","0","4","4","0","4","4","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","1823","2","legacy","1024","2","48000","-16","experiment","Silk is woven.","100","even","27185","11322","NA","NA","2341","26681","2425","4123","8197","9544","27385","28385","2420","24854","24850","Sentence_verification","0","5000","5","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","5","0","0","0","0","5","0","0","0","0","5","5","0","5","5","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","1073","2","legacy","1024","2","48000","-16","experiment","France has DeGaulle.","100","even","30022","11322","NA","NA","2341","29518","2425","4123","8197","9544","30222","31222","2420","28441","28437","Sentence_verification","0","6000","6","TRUE","m","yes","1024"
"0","0","1000.2857142857143","1000.2857142857143","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","6","0","0","0","0","6","0","0","0","0","6","6","0","6","6","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1002","NA","1682","4067","1341","1777","1002","948","2","legacy","1024","2","48000","-16","experiment","A canary can sing.","100","even","32736","11322","NA","NA","2341","32232","2425","4123","8197","9544","32936","33939","2420","31280","31275","Sentence_verification","0","7002","7","TRUE","m","yes","1024"
"0","0","1000.25","1000.25","black","legacy","legacy","legacy","0","S2","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","7","0","0","0","0","7","0","0","0","0","7","7","0","7","7","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","7","7","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","993","2","legacy","1024","2","48000","-16","experiment","A general is a monkey.","100","even","35502","11322","NA","NA","2341","34998","2425","4123","8197","9544","35702","36702","2420","34000","33995","Sentence_verification","0","8002","8","FALSE","m","yes","1024"
"0","0","1000.2222222222222","1000.2222222222222","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","8","0","0","0","0","8","0","0","0","0","8","8","0","8","8","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","8","8","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","3032","2","legacy","1024","2","48000","-16","experiment","A shark has gills. ","100","even","40312","11322","NA","NA","2341","39808","2425","4123","8197","9544","40512","41512","2420","36771","36766","Sentence_verification","0","9002","9","TRUE","m","yes","1024"
"0","0","1000.2","1000.2","black","legacy","legacy","legacy","0","P2","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","9","0","0","0","0","9","0","0","0","0","9","9","0","9","9","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","9","9","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1240","2","legacy","1024","2","48000","-16","experiment","A brigade can fly.","100","even","43307","11322","NA","NA","2341","42803","2425","4123","8197","9544","43507","44507","2420","41558","41555","Sentence_verification","0","10002","10","FALSE","m","yes","1024"
