acc,accuracy,average_response_time,avg_rt,background,bidi,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,response,response_break1,response_break_2,response_instructions1,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
89,89,635,635,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,79,79,79,79,0,0,0,79,79,0,0,79,79,79,0,0,79,79,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,4 3 2 5 8,osweb,1.3.8,2,y,right,right,,space,space,right,716,11546,,22060,14108,716,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,3,517593,360822,,514341,133,515390,406656,133,94447,519595,516392,520323,133,519595,Sternberg,71,50795,80,yes,1024
89,89,636,636,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,80,80,80,80,0,0,0,80,80,0,0,80,80,80,0,0,80,80,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,8 3,osweb,1.3.8,2,y,right,right,,space,space,right,727,11546,,22060,14108,727,2,legacy,1600855828676,2,1024,2,48000,-16,experiment,1,odd,3,523583,360822,,520324,133,521362,406656,133,94447,525586,522366,526319,133,525586,Sternberg,72,51522,81,yes,1024
89,89,642,642,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,81,81,81,81,0,0,0,81,81,0,0,81,81,81,0,0,81,81,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,8 4 3 9,osweb,1.3.8,0,n,left,right,,space,space,left,1134,11546,,22060,14108,1134,2,legacy,1600855828676,4,1024,2,48000,-16,experiment,1,odd,5,529573,360822,,526321,133,527368,406656,133,94447,531576,528372,532726,133,531576,Sternberg,73,52656,82,yes,1024
88,88,644,644,black,no,experiment,legacy,legacy,legacy,0,uniform,0,right,82,82,82,82,0,0,0,82,82,0,0,82,82,82,0,0,82,82,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,5 2 9 6 1 7,osweb,1.3.8,3,y,left,right,,space,space,left,758,11546,,22060,14108,758,2,legacy,1600855828676,6,1024,2,48000,-16,experiment,1,odd,9,535997,360822,,532728,133,533776,406656,133,94447,538000,534780,538766,133,538000,Sternberg,73,53414,83,yes,1024
88,88,644,644,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,83,83,83,83,0,0,0,83,83,0,0,83,83,83,0,0,83,83,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,5 7 3,osweb,1.3.8,0,n,left,right,,space,space,left,717,11546,,22060,14108,717,2,legacy,1600855828676,3,1024,2,48000,-16,experiment,1,odd,9,542037,360822,,532728,133,539815,538768,133,94447,544040,540820,544773,133,544040,Sternberg,74,54131,84,yes,1024
88,88,647,647,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,84,84,84,84,0,0,0,84,84,0,0,84,84,84,0,0,84,84,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,2 8 6 3 1,osweb,1.3.8,0,n,left,right,,space,space,left,857,11546,,22060,14108,857,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,7,548077,360822,,544775,133,545844,538768,133,94447,550080,546860,550947,133,550080,Sternberg,75,54988,85,yes,1024
88,88,645,645,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,85,85,85,85,0,0,0,85,85,0,0,85,85,85,0,0,85,85,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,2 6 1 7 4,osweb,1.3.8,2,y,right,right,,space,space,right,523,11546,,22060,14108,523,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,6,554217,360822,,550948,133,552000,538768,133,94447,556220,553016,556753,133,556220,Sternberg,76,55511,86,yes,1024
89,89,648,648,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,86,86,86,86,0,0,0,86,86,0,0,86,86,86,0,0,86,86,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,3 2 1 4 7,osweb,1.3.8,2,y,right,right,,space,space,right,893,11546,,22060,14108,893,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,2,560040,360822,,556755,133,557808,538768,133,94447,562044,558823,562943,133,562044,Sternberg,77,56404,87,yes,1024
89,89,649,649,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,87,87,87,87,0,0,0,87,87,0,0,87,87,87,0,0,87,87,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,4 1 8 7 5,osweb,1.3.8,3,y,right,right,,space,space,right,714,11546,,22060,14108,714,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,8,566197,360822,,562945,133,563994,538768,133,94447,568206,564996,568933,133,568206,Sternberg,78,57118,88,yes,1024
89,89,647,647,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,88,88,88,88,0,0,0,88,88,0,0,88,88,88,0,0,88,88,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,1 7 5 2,osweb,1.3.8,0,n,left,right,,space,space,left,468,11546,,22060,14108,468,2,legacy,1600855828676,4,1024,2,48000,-16,experiment,1,odd,3,572203,360822,,568935,133,569980,538768,133,94447,574206,570986,574689,133,574206,Sternberg,79,57586,89,yes,1024
89,89,651,651,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,89,89,89,89,0,0,0,89,89,0,0,89,89,89,0,0,89,89,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,7 9,osweb,1.3.8,0,n,left,right,,space,space,left,967,11546,,22060,14108,967,2,legacy,1600855828676,2,1024,2,48000,-16,experiment,1,odd,1,577953,360822,,574691,133,575736,538768,133,94447,579963,576742,580946,133,579963,Sternberg,80,58553,90,yes,1024
89,89,651,651,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,90,90,90,90,0,0,0,90,90,0,0,90,90,90,0,0,90,90,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,8 5 1 3 9,osweb,1.3.8,4,y,right,right,,space,space,right,665,11546,,22060,14108,665,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,3,584234,360822,,580951,133,581999,538768,133,94447,586236,583016,586902,133,586236,Sternberg,81,59218,91,yes,1024
88,88,651,651,black,no,experiment,legacy,legacy,legacy,0,uniform,0,left,91,91,91,91,0,0,0,91,91,0,0,91,91,91,0,0,91,91,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,6 9 4 5 3 2,osweb,1.3.8,0,n,right,right,,space,space,right,635,11546,,22060,14108,635,2,legacy,1600855828676,6,1024,2,48000,-16,experiment,1,odd,8,590174,360822,,586904,133,587952,538768,133,94447,592176,588956,592826,133,592176,Sternberg,81,59853,92,yes,1024
88,88,653,653,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,92,92,92,92,0,0,0,92,92,0,0,92,92,92,0,0,92,92,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,9 3 1 2 5,osweb,1.3.8,4,y,right,right,,space,space,right,901,11546,,22060,14108,901,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,2,596080,360822,,586904,133,593877,592828,133,94447,598082,594879,599000,133,598082,Sternberg,82,60754,93,yes,1024
88,88,654,654,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,93,93,93,93,0,0,0,93,93,0,0,93,93,93,0,0,93,93,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,7 6 4 8 1 2,osweb,1.3.8,0,n,left,right,,space,space,left,676,11546,,22060,14108,676,2,legacy,1600855828676,6,1024,2,48000,-16,experiment,1,odd,9,602254,360822,,599002,133,600049,592828,133,94447,604256,601052,604939,133,604256,Sternberg,83,61430,94,yes,1024
88,88,655,655,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,94,94,94,94,0,0,0,94,94,0,0,94,94,94,0,0,94,94,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,4 8 1 2,osweb,1.3.8,0,n,left,right,,space,space,left,818,11546,,22060,14108,818,2,legacy,1600855828676,4,1024,2,48000,-16,experiment,1,odd,7,608193,360822,,604941,133,605988,592828,133,94447,610196,606992,611029,133,610196,Sternberg,84,62248,95,yes,1024
89,89,655,655,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,95,95,95,95,0,0,0,95,95,0,0,95,95,95,0,0,95,95,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,8 1 6,osweb,1.3.8,3,y,right,right,,space,space,right,618,11546,,22060,14108,618,2,legacy,1600855828676,3,1024,2,48000,-16,experiment,1,odd,6,614284,360822,,611031,133,612080,592828,133,94447,616286,613082,616919,133,616286,Sternberg,85,62866,96,yes,1024
89,89,655,655,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,96,96,96,96,0,0,0,96,96,0,0,96,96,96,0,0,96,96,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,2 5 4 8 7,osweb,1.3.8,3,y,right,right,,space,space,right,630,11546,,22060,14108,630,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,4,620173,360822,,616921,133,617961,592828,133,94447,622176,618972,622809,133,622176,Sternberg,86,63496,97,yes,1024
89,89,656,656,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,97,97,97,97,0,0,0,97,97,0,0,97,97,97,0,0,97,97,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,7 2 3,osweb,1.3.8,3,y,right,right,right,space,space,right,785,11546,6702,22060,14108,785,2,legacy,1600855828676,3,1024,2,48000,-16,experiment,1,odd,3,632804,360822,623828,622811,133,630584,592828,133,94447,634807,631587,635607,133,634807,Sternberg,87,64281,98,yes,1024
89,89,655,655,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,98,98,98,98,0,0,0,98,98,0,0,98,98,98,0,0,98,98,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,1 4 9 3 2 5,osweb,1.3.8,3,y,right,right,right,space,space,right,529,11546,6702,22060,14108,529,2,legacy,1600855828676,6,1024,2,48000,-16,experiment,1,odd,9,638861,360822,623828,635608,133,636656,592828,133,94447,640863,637659,641396,133,640863,Sternberg,88,64810,99,yes,1024
88,88,657,657,black,no,experiment,legacy,legacy,legacy,0,uniform,0,left,99,99,99,99,0,0,0,99,99,0,0,99,99,99,0,0,99,99,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,9 8 2 7 4,osweb,1.3.8,0,n,right,right,right,space,space,right,852,11546,6702,22060,14108,852,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,5,644650,360822,623828,641398,133,642445,592828,133,94447,646653,643449,647520,133,646653,Sternberg,88,65662,100,yes,1024
88,88,659,659,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,100,100,100,100,0,0,0,100,100,0,0,100,100,100,0,0,100,100,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,4 7 6 8 2 3,osweb,1.3.8,6,y,right,right,right,space,space,right,932,11546,6702,22060,14108,932,2,legacy,1600855828676,6,1024,2,48000,-16,experiment,1,odd,3,650790,360822,623828,641398,133,648565,647522,133,94447,652793,649573,653736,133,652793,Sternberg,89,66594,101,yes,1024
88,88,658,658,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,101,101,101,101,0,0,0,101,101,0,0,101,101,101,0,0,101,101,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,3 5 9 6 2 4,osweb,1.3.8,1,y,right,right,right,space,space,right,533,11546,6702,22060,14108,533,2,legacy,1600855828676,6,1024,2,48000,-16,experiment,1,odd,3,656997,360822,623828,653738,133,654775,647522,133,94447,659000,655780,659533,133,659000,Sternberg,90,67127,102,yes,1024
88,88,662,662,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,102,102,102,102,0,0,0,102,102,0,0,102,102,102,0,0,102,102,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,5,osweb,1.3.8,0,n,left,right,right,space,space,left,1050,11546,6702,22060,14108,1050,2,legacy,1600855828676,1,1024,2,48000,-16,experiment,1,odd,8,662820,360822,623828,659535,133,660588,647522,133,94447,664823,661603,665890,133,664823,Sternberg,91,68177,103,yes,1024
88,88,664,664,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,103,103,103,103,0,0,0,103,103,0,0,103,103,103,0,0,103,103,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,3 9 8 1 6 4,osweb,1.3.8,0,n,left,right,right,space,space,left,875,11546,6702,22060,14108,875,2,legacy,1600855828676,6,1024,2,48000,-16,experiment,1,odd,7,669161,360822,623828,665892,133,666937,647522,133,94447,671163,667943,672047,133,671163,Sternberg,92,69052,104,yes,1024
89,89,665,665,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,104,104,104,104,0,0,0,104,104,0,0,104,104,104,0,0,104,104,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,3 5 4 7,osweb,1.3.8,1,y,right,right,right,space,space,right,734,11546,6702,22060,14108,734,2,legacy,1600855828676,4,1024,2,48000,-16,experiment,1,odd,3,675317,360822,623828,672049,133,673097,647522,133,94447,677320,674100,678070,133,677320,Sternberg,93,69786,105,yes,1024
89,89,665,665,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,105,105,105,105,0,0,0,105,105,0,0,105,105,105,0,0,105,105,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,1 7 8 3 9,osweb,1.3.8,0,n,left,right,right,space,space,left,718,11546,6702,22060,14108,718,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,2,681324,360822,623828,678072,133,679117,647522,133,94447,683327,680123,684060,133,683327,Sternberg,94,70504,106,yes,1024
88,88,665,665,black,no,experiment,legacy,legacy,legacy,0,uniform,0,right,106,106,106,106,0,0,0,106,106,0,0,106,106,106,0,0,106,106,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,7 1 8 5 6 2,osweb,1.3.8,2,y,left,right,right,space,space,left,680,11546,6702,22060,14108,680,2,legacy,1600855828676,6,1024,2,48000,-16,experiment,1,odd,1,687314,360822,623828,684063,133,685108,647522,133,94447,689317,686113,690000,133,689317,Sternberg,94,71184,107,yes,1024
88,88,666,666,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,107,107,107,107,0,0,0,107,107,0,0,107,107,107,0,0,107,107,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,9 4 2,osweb,1.3.8,1,y,right,right,right,space,space,right,740,11546,6702,22060,14108,740,2,legacy,1600855828676,3,1024,2,48000,-16,experiment,1,odd,9,693287,360822,623828,684063,133,691057,690002,133,94447,695290,692070,696040,133,695290,Sternberg,95,71924,108,yes,1024
87,87,666,666,black,no,experiment,legacy,legacy,legacy,0,uniform,0,right,108,108,108,108,0,0,0,108,108,0,0,108,108,108,0,0,108,108,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,4 6 5 8,osweb,1.3.8,1,y,left,right,right,space,space,left,668,11546,6702,22060,14108,668,2,legacy,1600855828676,4,1024,2,48000,-16,experiment,1,odd,4,699310,360822,623828,696042,133,697088,690002,133,94447,701313,698093,701996,133,701313,Sternberg,95,72592,109,yes,1024
87,87,666,666,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,109,109,109,109,0,0,0,109,109,0,0,109,109,109,0,0,109,109,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,3 5 7 1,osweb,1.3.8,3,y,right,right,right,space,space,right,682,11546,6702,22060,14108,682,2,legacy,1600855828676,4,1024,2,48000,-16,experiment,1,odd,7,705267,360822,623828,696042,133,703046,701998,133,94447,707270,704050,707953,133,707269,Sternberg,96,73274,110,yes,1024
87,87,669,669,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,110,110,110,110,0,0,0,110,110,0,0,110,110,110,0,0,110,110,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,8 9 6 1,osweb,1.3.8,2,y,right,right,right,space,space,right,940,11546,6702,22060,14108,940,2,legacy,1600855828676,4,1024,2,48000,-16,experiment,1,odd,9,711207,360822,623828,707954,133,709004,701998,133,94447,713210,710006,714159,133,713210,Sternberg,97,74214,111,yes,1024
88,88,668,668,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,111,111,111,111,0,0,0,111,111,0,0,111,111,111,0,0,111,111,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,7 6,osweb,1.3.8,2,y,right,right,right,space,space,right,649,11546,6702,22060,14108,649,2,legacy,1600855828676,2,1024,2,48000,-16,experiment,1,odd,6,717447,360822,623828,714161,133,715212,701998,133,94447,719449,716230,720099,133,719449,Sternberg,98,74863,112,yes,1024
88,88,669,669,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,112,112,112,112,0,0,0,112,112,0,0,112,112,112,0,0,112,112,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,5 9 2 3,osweb,1.3.8,0,n,left,right,right,space,space,left,704,11546,6702,22060,14108,704,2,legacy,1600855828676,4,1024,2,48000,-16,experiment,1,odd,8,723371,360822,623828,720101,133,721151,701998,133,94447,725373,722153,726089,133,725373,Sternberg,99,75567,113,yes,1024
88,88,669,669,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,113,113,113,113,0,0,0,113,113,0,0,113,113,113,0,0,113,113,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,2 8 9 4 1,osweb,1.3.8,0,n,left,right,right,space,space,left,675,11546,6702,22060,14108,675,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,5,729360,360822,623828,726091,133,727141,701998,133,94447,731363,728143,732046,133,731363,Sternberg,100,76242,114,yes,1024
88,88,669,669,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,114,114,114,114,0,0,0,114,114,0,0,114,114,114,0,0,114,114,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,3 4,osweb,1.3.8,1,y,right,right,right,space,space,right,750,11546,6702,22060,14108,750,2,legacy,1600855828676,2,1024,2,48000,-16,experiment,1,odd,3,735317,360822,623828,732048,133,733094,701998,133,94447,737320,734100,738086,133,737320,Sternberg,101,76992,115,yes,1024
88,88,670,670,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,115,115,115,115,0,0,0,115,115,0,0,115,115,115,0,0,115,115,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,9 6 2 4 1,osweb,1.3.8,4,y,right,right,right,space,space,right,748,11546,6702,22060,14108,748,2,legacy,1600855828676,5,1024,2,48000,-16,experiment,1,odd,4,741340,360822,623828,738088,133,739128,701998,133,94447,743343,740139,744092,133,743343,Sternberg,102,77740,116,yes,1024
88,88,670,670,black,no,experiment,legacy,legacy,legacy,0,uniform,1,right,116,116,116,116,0,0,0,116,116,0,0,116,116,116,0,0,116,116,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,7 1 3,osweb,1.3.8,2,y,right,right,right,space,space,right,629,11546,6702,22060,14108,629,2,legacy,1600855828676,3,1024,2,48000,-16,experiment,1,odd,1,747364,360822,623828,744094,133,745141,701998,133,94447,749374,746146,750023,133,749374,Sternberg,103,78369,117,yes,1024
87,87,671,671,black,no,experiment,legacy,legacy,legacy,0,uniform,0,right,117,117,117,117,0,0,0,117,117,0,0,117,117,117,0,0,117,117,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,6 9 7 4 5 1,osweb,1.3.8,2,y,left,right,right,space,space,left,757,11546,6702,22060,14108,757,2,legacy,1600855828676,6,1024,2,48000,-16,experiment,1,odd,9,753270,360822,623828,750025,133,751067,701998,133,94447,755273,752069,756039,133,755273,Sternberg,103,79126,118,yes,1024
87,87,671,671,black,no,experiment,legacy,legacy,legacy,0,uniform,1,left,118,118,118,118,0,0,0,118,118,0,0,118,118,118,0,0,118,118,0,Wed Sep 23 2020 12:09:42 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,6 8 4,osweb,1.3.8,0,n,left,right,right,space,space,left,728,11546,6702,22060,14108,728,2,legacy,1600855828676,3,1024,2,48000,-16,experiment,1,odd,1,759310,360822,623828,750025,133,757088,756041,133,94447,761313,758093,762046,133,761313,Sternberg,104,79854,119,yes,1024
